word,frequency_in_target,frequency_in_reference,in_reference,lexical_confidence
honich,4,105,True,0.3890
hoppen,4,0,False,0.0000
hore,4,154,True,0.4207
iaers,4,21,True,0.2578
iamerlicke,4,0,False,0.0000
iegelicken,4,0,False,0.0000
ijegelicken,4,0,False,0.0000
ijemants,4,0,False,0.0000
inder,4,2722,True,0.6598
ix,4,155,True,0.4212
januarius,4,4,True,0.1342
jonferen,4,0,False,0.0000
jonferlicker,4,0,False,0.0000
kalt,4,1,True,0.0578
kerstelicke,4,0,False,0.0000
kierden,4,6,True,0.1623
kunde,4,3,True,0.1156
lappen,4,1,True,0.0578
laste,4,38,True,0.3056
lecht,4,11,True,0.2073
ledige,4,12,True,0.2140
leester,4,0,False,0.0000
lelick,4,10,True,0.2000
lichtelick,4,1,True,0.0578
lichtelicke,4,0,False,0.0000
lichten,4,145,True,0.4157
liefsten,4,111,True,0.3936
lijdens,4,5,True,0.1495
magdalena,4,51,True,0.3296
mate,4,357,True,0.4905
mater,4,80,True,0.3666
mcccclxxix,4,0,False,0.0000
mcccclxxxi,4,0,False,0.0000
medecien,4,0,False,0.0000
medelijden,4,9,True,0.1921
medesusteren,4,0,False,0.0000
meent,4,62,True,0.3456
meente,4,0,False,0.0000
meerre,4,347,True,0.4882
mergen,4,7,True,0.1735
merwick,4,0,False,0.0000
moederlick,4,1,True,0.0578
moest,4,87,True,0.3735
moesten,4,84,True,0.3706
moijenisse,4,0,False,0.0000
mormerieren,4,8,True,0.1833
mynsten,4,5,True,0.1495
naemaels,4,21,True,0.2578
naet,4,16,True,0.2363
nauwelick,4,0,False,0.0000
nerstelic,4,1,True,0.0578
nerstichger,4,0,False,0.0000
noetsacken,4,0,False,0.0000
nu,4,3567,True,0.6823
nychten,4,3,True,0.1156
oeffenen,4,14,True,0.2259
oeltheit,4,2,True,0.0916
oem,4,145,True,0.4157
oerdenieren,4,0,False,0.0000
oersacke,4,0,False,0.0000
oet,4,3,True,0.1156
offerden,4,57,True,0.3387
offerhande,4,148,True,0.4174
offiscie,4,0,False,0.0000
offisien,4,0,False,0.0000
omgaens,4,2,True,0.0916
onbedecket,4,0,False,0.0000
onbereit,4,1,True,0.0578
onderstant,4,21,True,0.2578
ongehulpen,4,0,False,0.0000
ongeleert,4,15,True,0.2313
onledich,4,39,True,0.3077
onsuekelick,4,0,False,0.0000
ontfynck,4,0,False,0.0000
onthoeren,4,0,False,0.0000
ontsiet,4,138,True,0.4116
ontstecken,4,0,False,0.0000
ontsteeken,4,0,False,0.0000
onverdrachgelick,4,0,False,0.0000
opsaet,4,0,False,0.0000
ordenancien,4,0,False,0.0000
passie,4,147,True,0.4168
peels,4,0,False,0.0000
pelgerijm,4,1,True,0.0578
pelsers,4,0,False,0.0000
penetencie,4,3,True,0.1156
persoenen,4,11,True,0.2073
poert,4,26,True,0.2749
poerten,4,117,True,0.3979
pres,4,1,True,0.0578
pynen,4,55,True,0.3358
quade,4,905,True,0.5680
quaden,4,470,True,0.5134
quaem,4,58,True,0.3401
rechtuerdich,4,5,True,0.1495
regel,4,18,True,0.2456
reverencie,4,59,True,0.3415
richter,4,37,True,0.3034
ricker,4,0,False,0.0000
rocke,4,9,True,0.1921
roemen,4,10,True,0.2000
rolle,4,4,True,0.1342
rouwe,4,420,True,0.5040
rouwich,4,20,True,0.2540
sachtmoedicheit,4,34,True,0.2966
sack,4,46,True,0.3212
schamden,4,2,True,0.0916
schenen,4,35,True,0.2989
scherpen,4,5,True,0.1495
schiecten,4,0,False,0.0000
schien,4,7,True,0.1735
schottellen,4,0,False,0.0000
schreiden,4,0,False,0.0000
scref,4,1,True,0.0578
scrieuen,4,0,False,0.0000
sees,4,0,False,0.0000
seidet,4,21,True,0.2578
ser,4,5,True,0.1495
sickelic,4,0,False,0.0000
sickelicken,4,0,False,0.0000
sicte,4,0,False,0.0000
sieckelicke,4,0,False,0.0000
sijde,4,37,True,0.3034
slechten,4,23,True,0.2651
snoede,4,21,True,0.2578
sober,4,33,True,0.2941
soldi,4,8,True,0.1833
sommels,4,0,False,0.0000
sommijghe,4,0,False,0.0000
spijnhuijs,4,0,False,0.0000
spoelen,4,12,True,0.2140
stande,4,1,True,0.0578
stem,4,4,True,0.1342
stichtelic,4,0,False,0.0000
stichtige,4,1,True,0.0578
stichtigen,4,0,False,0.0000
stielheit,4,0,False,0.0000
stoerden,4,0,False,0.0000
stoeren,4,0,False,0.0000
storuen,4,7,True,0.1735
suldi,4,994,True,0.5758
sulke,4,422,True,0.5044
sust,4,0,False,0.0000
susterken,4,1,True,0.0578
swaere,4,2,True,0.0916
swaers,4,0,False,0.0000
swaren,4,103,True,0.3874
swol,4,0,False,0.0000
synnen,4,31,True,0.2891
taffel,4,0,False,0.0000
terden,4,12,True,0.2140
tijde,4,80,True,0.3666
tijttelicker,4,0,False,0.0000
toernich,4,111,True,0.3936
touwe,4,2,True,0.0916
tyt,4,81,True,0.3676
verciert,4,71,True,0.3567
vercregen,4,42,True,0.3137
verdienden,4,15,True,0.2313
verdienst,4,14,True,0.2259
verdrieten,4,33,True,0.2941
verduldicheit,4,33,True,0.2941
vergeeten,4,0,False,0.0000
verleent,4,128,True,0.4054
verlichten,4,48,True,0.3246
vermaenden,4,6,True,0.1623
vermaenen,4,0,False,0.0000
vermijdelick,4,0,False,0.0000
vermochten,4,4,True,0.1342
verslapten,4,0,False,0.0000
versmaeden,4,4,True,0.1342
versumende,4,7,True,0.1735
vervrouwen,4,1,True,0.0578
verwaert,4,13,True,0.2201
verwert,4,2,True,0.0916
verwonnen,4,287,True,0.4724
verworuen,4,10,True,0.2000
viii,4,26,True,0.2749
vijftich,4,49,True,0.3263
visentieres,4,0,False,0.0000
vlittelicke,4,0,False,0.0000
voegen,4,26,True,0.2749
volden,4,0,False,0.0000
volghen,4,285,True,0.4718
volle,4,47,True,0.3229
vordel,4,13,True,0.2201
vre,4,82,True,0.3686
vredelick,4,1,True,0.0578
vredich,4,0,False,0.0000
vrien,4,142,True,0.4140
vriheit,4,170,True,0.4289
vroelick,4,0,False,0.0000
vroet,4,108,True,0.3913
vrolick,4,14,True,0.2259
vuerigher,4,3,True,0.1156
wachten,4,209,True,0.4460
wackerlick,4,0,False,0.0000
waerlick,4,1,True,0.0578
wanderen,4,79,True,0.3655
wannen,4,13,True,0.2201
warde,4,26,True,0.2749
weelden,4,115,True,0.3965
weer,4,177,True,0.4322
weest,4,193,True,0.4394
weigerden,4,0,False,0.0000
werlick,4,0,False,0.0000
wijf,4,1129,True,0.5864
wijnters,4,3,True,0.1156
wijsen,4,57,True,0.3387
willichlick,4,1,True,0.0578
woeste,4,20,True,0.2540
wonderlick,4,4,True,0.1342
wonderlicke,4,4,True,0.1342
wonneden,4,0,False,0.0000
wtten,4,0,False,0.0000
wtterste,4,0,False,0.0000
wtterster,4,0,False,0.0000
xiiii,4,13,True,0.2201
xxi,4,25,True,0.2718
xxiii,4,13,True,0.2201
xxix,4,22,True,0.2615
xxx,4,117,True,0.3979
zutfen,4,0,False,0.0000
achtersprac,3,0,False,0.0000
aensprac,3,1,True,0.0578
afkiericheit,3,0,False,0.0000
alij,3,0,False,0.0000
alije,3,0,False,0.0000
alles,3,178,True,0.4327
altaer,3,70,True,0.3556
amelonx,3,0,False,0.0000
amen,3,587,True,0.5319
anxtvoldich,3,0,False,0.0000
apostelen,3,143,True,0.4145
appel,3,83,True,0.3696
appelen,3,40,True,0.3098
auergegeuen,3,0,False,0.0000
auervloedelicke,3,0,False,0.0000
augustijnus,3,3,True,0.1156
backhuijs,3,0,False,0.0000
bade,3,48,True,0.3246
bagemakers,3,0,False,0.0000
barnardus,3,16,True,0.2363
barnen,3,68,True,0.3532
barnende,3,32,True,0.2917
becaeringhe,3,0,False,0.0000
becande,3,1,True,0.0578
becanden,3,0,False,0.0000
bed,3,4,True,0.1342
bedudet,3,20,True,0.2540
beelde,3,288,True,0.4727
beertruijt,3,0,False,0.0000
begerlicheit,3,1,True,0.0578
begeuen,3,12,True,0.2140
begijnne,3,5,True,0.1495
begriepen,3,0,False,0.0000
behagel,3,2,True,0.0916
behelpen,3,7,True,0.1735
behuet,3,11,True,0.2073
behulpelicheit,3,0,False,0.0000
beleiden,3,7,True,0.1735
belijden,3,3,True,0.1156
benselers,3,0,False,0.0000
berch,3,538,True,0.5246
bereijt,3,1,True,0.0578
beschreuen,3,0,False,0.0000
besmijtten,3,0,False,0.0000
bestant,3,24,True,0.2685
beswaert,3,33,True,0.2941
betemt,3,0,False,0.0000
beteren,3,236,True,0.4561
beuoelick,3,0,False,0.0000
bewesen,3,55,True,0.3358
bewijsen,3,19,True,0.2499
bichtvader,3,0,False,0.0000
bidt,3,174,True,0.4308
bieden,3,31,True,0.2891
bleicken,3,0,False,0.0000
blijeuen,3,0,False,0.0000
blijtscapen,3,2,True,0.0916
bloede,3,597,True,0.5333
bocken,3,7,True,0.1735
bollen,3,6,True,0.1623
brenget,3,37,True,0.3034
bronchorst,3,0,False,0.0000
brou,3,0,False,0.0000
bugen,3,15,True,0.2313
byn,3,18,True,0.2456
cecilien,3,27,True,0.2780
cleynen,3,72,True,0.3579
cleynmoedich,3,6,True,0.1623
colacien,3,0,False,0.0000
confersacie,3,1,True,0.0578
consciencien,3,102,True,0.3866
conste,3,260,True,0.4642
contrarie,3,232,True,0.4547
cornhorst,3,0,False,0.0000
cortelick,3,1,True,0.0578
corter,3,47,True,0.3229
cronen,3,109,True,0.3921
cruces,3,59,True,0.3415
cupers,3,0,False,0.0000
dachten,3,7,True,0.1735
darden,3,1,True,0.0578
dats,3,1960,True,0.6324
deelachtich,3,50,True,0.3280
deuocien,3,59,True,0.3415
devoet,3,13,True,0.2201
dochteren,3,138,True,0.4116
dockes,3,0,False,0.0000
doeren,3,28,True,0.2809
dogen,3,99,True,0.3841
donre,3,18,True,0.2456
donredach,3,4,True,0.1342
dooden,3,198,True,0.4415
dorst,3,192,True,0.4390
droeften,3,0,False,0.0000
druckelick,3,0,False,0.0000
du,3,2172,True,0.6409
ducwile,3,17,True,0.2411
dusent,3,219,True,0.4499
duster,3,0,False,0.0000
duuellen,3,0,False,0.0000
eerweerdicheit,3,4,True,0.1342
eerwerdich,3,2,True,0.0916
eerwerdige,3,3,True,0.1156
elck,3,157,True,0.4223
ellendiger,3,1,True,0.0578
ewen,3,98,True,0.3833
ewich,3,97,True,0.3824
franciscus,3,50,True,0.3280
gad,3,27,True,0.2780
gader,3,290,True,0.4732
gande,3,1,True,0.0578
gebleuen,3,8,True,0.1833
gecledet,3,7,True,0.1735
gecregen,3,19,True,0.2499
gedachten,3,98,True,0.3833
gedroncken,3,21,True,0.2578
gegont,3,0,False,0.0000
geguedet,3,0,False,0.0000
gehulpen,3,1,True,0.0578
gelapte,3,0,False,0.0000
gelauet,3,1,True,0.0578
gelesen,3,31,True,0.2891
gem,3,0,False,0.0000
gemercket,3,0,False,0.0000
gemeret,3,10,True,0.2000
gemerken,3,1,True,0.0578
gemeynnen,3,0,False,0.0000
gemoet,3,50,True,0.3280
genaede,3,0,False,0.0000
genochgelicke,3,0,False,0.0000
gerijnge,3,0,False,0.0000
gerijts,3,0,False,0.0000
geschien,3,100,True,0.3850
gesocht,3,37,True,0.3034
gesontheit,3,25,True,0.2718
gesponnen,3,0,False,0.0000
geten,3,40,True,0.3098
geue,3,55,True,0.3358
gevisentiert,3,0,False,0.0000
gevoelen,3,74,True,0.3601
gewesen,3,6,True,0.1623
geweten,3,17,True,0.2411
gewyn,3,0,False,0.0000
ghebrecken,3,0,False,0.0000
ghecoemen,3,15,True,0.2313
ghedreuen,3,17,True,0.2411
gheenen,3,147,True,0.4168
gheenre,3,212,True,0.4472
ghefondiert,3,0,False,0.0000
ghehoersam,3,66,True,0.3507
gheleden,3,124,True,0.4027
ghelegen,3,29,True,0.2837
ghelick,3,6,True,0.1623
gheloeuen,3,10,True,0.2000
ghenoch,3,23,True,0.2651
gheoerdeniert,3,0,False,0.0000
gheordeniert,3,13,True,0.2201
gheroert,3,9,True,0.1921
ghescheiden,3,15,True,0.2313
gheschiect,3,0,False,0.0000
gheseelscap,3,0,False,0.0000
ghespaert,3,18,True,0.2456
ghewandert,3,7,True,0.1735
ghewoent,3,21,True,0.2578
glorien,3,496,True,0.5179
goddien,3,0,False,0.0000
goddienstelicke,3,0,False,0.0000
goddienstichghe,3,0,False,0.0000
goldes,3,0,False,0.0000
golt,3,12,True,0.2140
gom,3,0,False,0.0000
gonden,3,2,True,0.0916
griete,3,0,False,0.0000
groter,3,1264,True,0.5958
guetheit,3,80,True,0.3666
gunnich,3,0,False,0.0000
habit,3,1,True,0.0578
hadt,3,173,True,0.4303
hagensteen,3,0,False,0.0000
hals,3,323,True,0.4822
hanseler,3,0,False,0.0000
hape,3,8,True,0.1833
hartelick,3,0,False,0.0000
harten,3,17,True,0.2411
hastelick,3,0,False,0.0000
hastich,3,0,False,0.0000
hebste,3,198,True,0.4415
heijmelic,3,0,False,0.0000
heijmelsche,3,0,False,0.0000
heilicheit,3,113,True,0.3951
heiligher,3,385,True,0.4968
heite,3,3,True,0.1156
helle,3,219,True,0.4499
hemelick,3,1,True,0.0578
hemelrick,3,0,False,0.0000
hemelschen,3,243,True,0.4585
hertelic,3,12,True,0.2140
hierde,3,8,True,0.1833
hijt,3,423,True,0.5046
hoeden,3,202,True,0.4432
hogen,3,85,True,0.3716
honger,3,143,True,0.4145
iamerlick,3,0,False,0.0000
iemants,3,0,False,0.0000
ijdelheit,3,8,True,0.1833
inwendich,3,42,True,0.3137
inwendige,3,12,True,0.2140
ionc,3,93,True,0.3790
ioncste,3,5,True,0.1495
ionfer,3,10,True,0.2000
ionsten,3,13,True,0.2201
jheronimus,3,41,True,0.3118
joncfer,3,0,False,0.0000
jutte,3,0,False,0.0000
kaefs,3,0,False,0.0000
kaels,3,0,False,0.0000
kanden,3,2,True,0.0916
katheryn,3,0,False,0.0000
kerse,3,2,True,0.0916
kersen,3,8,True,0.1833
kerskens,3,0,False,0.0000
kersten,3,633,True,0.5382
kieren,3,6,True,0.1623
knijnen,3,0,False,0.0000
konst,3,24,True,0.2685
konste,3,12,True,0.2140
kost,3,3,True,0.1156
kosters,3,0,False,0.0000
kranc,3,3,True,0.1156
lacken,3,0,False,0.0000
lafden,3,0,False,0.0000
ledde,3,0,False,0.0000
leede,3,21,True,0.2578
leeden,3,24,True,0.2685
leider,3,41,True,0.3118
lelicste,3,9,True,0.1921
lemken,3,0,False,0.0000
leuender,3,23,True,0.2651
leuet,3,79,True,0.3655
lichamlick,3,0,False,0.0000
lichamlicker,3,0,False,0.0000
lichams,3,33,True,0.2941
lieffelick,3,0,False,0.0000
liefste,3,139,True,0.4122
lijsbeth,3,0,False,0.0000
loep,3,52,True,0.3312
lof,3,283,True,0.4712
luchten,3,40,True,0.3098
luchtich,3,2,True,0.0916
lust,3,134,True,0.4092
maectent,3,2,True,0.0916
maeken,3,3,True,0.1156
malckander,3,0,False,0.0000
maltijden,3,0,False,0.0000
mathusalem,3,3,True,0.1156
mechde,3,0,False,0.0000
mechden,3,6,True,0.1623
mechelen,3,2,True,0.0916
medelijdelic,3,0,False,0.0000
mellick,3,0,False,0.0000
meninge,3,32,True,0.2917
mens,3,74,True,0.3601
mercke,3,21,True,0.2578
merckelicke,3,0,False,0.0000
mere,3,197,True,0.4411
meste,3,7,True,0.1735
met,3,16035,True,0.8077
mijlde,3,0,False,0.0000
mijnlicker,3,0,False,0.0000
moetheit,3,7,True,0.1735
mommen,3,0,False,0.0000
mondes,3,15,True,0.2313
montvol,3,0,False,0.0000
mormerierich,3,0,False,0.0000
mosten,3,51,True,0.3296
mynden,3,1,True,0.0578
n,3,850,True,0.5627
naeden,3,10,True,0.2000
naeder,3,9,True,0.1921
namaels,3,82,True,0.3686
namt,3,8,True,0.1833
neijden,3,0,False,0.0000
neijgden,3,0,False,0.0000
neijgen,3,0,False,0.0000
nerstiger,3,0,False,0.0000
nijchte,3,0,False,0.0000
nijer,3,1,True,0.0578
noemden,3,12,True,0.2140
nouenber,3,0,False,0.0000
nutste,3,1,True,0.0578
nuttelick,3,0,False,0.0000
oerdenancien,3,0,False,0.0000
offeren,3,299,True,0.4758
olije,3,4,True,0.1342
onachsam,3,5,True,0.1495
onbedectelick,3,0,False,0.0000
onderstants,3,0,False,0.0000
ondert,3,4,True,0.1342
onderwant,3,5,True,0.1495
onduersten,3,0,False,0.0000
ongeacht,3,3,True,0.1156
ongelicke,3,0,False,0.0000
onlijdsamheit,3,3,True,0.1156
onloeffelick,3,0,False,0.0000
onmynne,3,0,False,0.0000
ontfync,3,0,False,0.0000
ontsaghen,3,13,True,0.2201
ontstichten,3,0,False,0.0000
onversiens,3,18,True,0.2456
opstaen,3,50,True,0.3280
orber,3,44,True,0.3175
orden,3,54,True,0.3343
pauwel,3,25,True,0.2718
perde,3,9,True,0.1921
person,3,0,False,0.0000
plaghen,3,118,True,0.3986
plegen,3,98,True,0.3833
predicten,3,12,True,0.2140
prelaten,3,88,True,0.3744
proffittelick,3,0,False,0.0000
profittelick,3,0,False,0.0000
puntken,3,0,False,0.0000
pyn,3,8,True,0.1833
qua,3,8,True,0.1833
r,3,234,True,0.4554
rechtevoert,3,37,True,0.3034
redelicke,3,1,True,0.0578
regelen,3,10,True,0.2000
regiements,3,0,False,0.0000
reigierden,3,0,False,0.0000
religiosen,3,15,True,0.2313
reuerencelick,3,0,False,0.0000
richeit,3,6,True,0.1623
richten,3,13,True,0.2201
ricken,3,0,False,0.0000
rieue,3,0,False,0.0000
rijcheit,3,337,True,0.4857
rijck,3,147,True,0.4168
rijcke,3,268,True,0.4667
rouwelick,3,1,True,0.0578
rustelick,3,0,False,0.0000
s,3,890,True,0.5666
sacke,3,10,True,0.2000
salichlicken,3,0,False,0.0000
sante,3,3,True,0.1156
sater,3,1,True,0.0578
satten,3,4,True,0.1342
schemelic,3,0,False,0.0000
scherbier,3,0,False,0.0000
scrippeloes,3,0,False,0.0000
seeden,3,3,True,0.1156
seit,3,2858,True,0.6638
seraphym,3,0,False,0.0000
siberts,3,0,False,0.0000
sieckelic,3,0,False,0.0000
sienlick,3,0,False,0.0000
siennen,3,0,False,0.0000
sijden,3,24,True,0.2685
sijnt,3,39,True,0.3077
smeeds,3,0,False,0.0000
snede,3,25,True,0.2718
sochten,3,62,True,0.3456
sommers,3,0,False,0.0000
sommighe,3,116,True,0.3972
sommijgen,3,0,False,0.0000
sorchuoldich,3,17,True,0.2411
sorget,3,4,True,0.1342
spaeren,3,2,True,0.0916
spiegel,3,57,True,0.3387
spoellen,3,0,False,0.0000
stack,3,79,True,0.3655
staf,3,41,True,0.3118
stant,3,49,True,0.3263
stede,3,1165,True,0.5890
stegen,3,1,True,0.0578
stemmen,3,249,True,0.4606
stercker,3,31,True,0.2891
sterft,3,126,True,0.4041
stich,3,0,False,0.0000
stief,3,1,True,0.0578
stoer,3,0,False,0.0000
strenghe,3,27,True,0.2780
stucken,3,196,True,0.4407
styn,3,0,False,0.0000
suecken,3,5,True,0.1495
suerlick,3,0,False,0.0000
susterlicke,3,0,False,0.0000
susterlicker,3,0,False,0.0000
suuerlicken,3,0,False,0.0000
sytten,3,0,False,0.0000
tafel,3,217,True,0.4491
teghen,3,880,True,0.5656
tengnagels,3,0,False,0.0000
terijnge,3,0,False,0.0000
tijtden,3,0,False,0.0000
toern,3,78,True,0.3645
toevlocht,3,0,False,0.0000
tonden,3,0,False,0.0000
tonge,3,153,True,0.4201
tongen,3,113,True,0.3951
treken,3,10,True,0.2000
troestelick,3,0,False,0.0000
tusschen,3,739,True,0.5511
tymmerden,3,12,True,0.2140
ummer,3,3,True,0.1156
vack,3,0,False,0.0000
vacke,3,1,True,0.0578
vaderlicker,3,0,False,0.0000
vallen,3,489,True,0.5167
varen,3,492,True,0.5172
velde,3,143,True,0.4145
venlo,3,0,False,0.0000
ver,3,35,True,0.2989
verblijt,3,251,True,0.4612
vercaren,3,0,False,0.0000
verduldelick,3,0,False,0.0000
vergaderen,3,215,True,0.4484
vergaderinge,3,30,True,0.2864
vergeuet,3,4,True,0.1342
verhengenisse,3,2,True,0.0916
verlanget,3,9,True,0.1921
verleenen,3,20,True,0.2540
vermeeren,3,8,True,0.1833
vermoeghen,3,16,True,0.2363
vernamen,3,78,True,0.3645
vernijen,3,0,False,0.0000
veroetmoedinghe,3,0,False,0.0000
versien,3,82,True,0.3686
versken,3,1,True,0.0578
verstoert,3,17,True,0.2411
vertoenige,3,0,False,0.0000
veruullen,3,11,True,0.2073
verwecken,3,48,True,0.3246
vijften,3,41,True,0.3118
vijnger,3,0,False,0.0000
visentieren,3,1,True,0.0578
vlas,3,13,True,0.2201
vliettich,3,0,False,0.0000
vlittelic,3,0,False,0.0000
vloe,3,23,True,0.2651
voegden,3,1,True,0.0578
voeldadich,3,0,False,0.0000
voersiennicheit,3,1,True,0.0578
voerwaer,3,150,True,0.4185
volc,3,1871,True,0.6285
volwassen,3,22,True,0.2615
vort,3,89,True,0.3753
vredelic,3,6,True,0.1623
vruchten,3,218,True,0.4495
vuerichlic,3,0,False,0.0000
wackerheit,3,0,False,0.0000
waere,3,26,True,0.2749
waneer,3,2,True,0.0916
wasschen,3,116,True,0.3972
weesel,3,0,False,0.0000
weesen,3,20,True,0.2540
weeten,3,11,True,0.2073
weigeren,3,1,True,0.0578
wekelick,3,0,False,0.0000
wel,3,5676,True,0.7210
welken,3,456,True,0.5109
wennich,3,0,False,0.0000
werckende,3,8,True,0.1833
werckes,3,2,True,0.0916
werdich,3,72,True,0.3579
west,3,39,True,0.3077
wiel,3,12,True,0.2140
wijn,3,389,True,0.4977
wijns,3,65,True,0.3495
wijnter,3,2,True,0.0916
willick,3,3,True,0.1156
wischel,3,0,False,0.0000
woch,3,0,False,0.0000
woldet,3,5,True,0.1495
woldi,3,2,True,0.0916
wolle,3,46,True,0.3212
wonenden,3,0,False,0.0000
wracht,3,8,True,0.1833
wretheit,3,1,True,0.0578
wtgaen,3,3,True,0.1156
wtnemelicheit,3,0,False,0.0000
wtwendich,3,8,True,0.1833
wtwendighe,3,6,True,0.1623
xiii,3,18,True,0.2456
xix,3,57,True,0.3387
xxvii,3,13,True,0.2201
yet,3,371,True,0.4937
ynnigen,3,3,True,0.1156
abel,2,41,True,0.3118
aduent,2,0,False,0.0000
aenbegyn,2,0,False,0.0000
aengenamen,2,0,False,0.0000
aennam,2,3,True,0.1156
aensach,2,26,True,0.2749
aenspracken,2,0,False,0.0000
aenspraken,2,0,False,0.0000
aentwoerden,2,0,False,0.0000
aflaet,2,24,True,0.2685
agniten,2,0,False,0.0000
alders,2,4,True,0.1342
alleent,2,0,False,0.0000
aller,2,71,True,0.3567
almijsse,2,0,False,0.0000
alremallick,2,0,False,0.0000
alssi,2,1,True,0.0578
alsten,2,0,False,0.0000
alsulke,2,77,True,0.3634
alsulken,2,37,True,0.3034
alsullicke,2,0,False,0.0000
altemal,2,0,False,0.0000
altesamen,2,3,True,0.1156
altoesamen,2,0,False,0.0000
altsten,2,0,False,0.0000
amt,2,0,False,0.0000
andachtelic,2,0,False,0.0000
apenbaeringhe,2,1,True,0.0578
apenbaerlick,2,0,False,0.0000
apenbaren,2,18,True,0.2456
apenhartich,2,0,False,0.0000
arbeidende,2,4,True,0.1342
arbeits,2,19,True,0.2499
armgart,2,0,False,0.0000
auen,2,1,True,0.0578
auentmael,2,4,True,0.1342
auerbrachten,2,0,False,0.0000
auerdencken,2,0,False,0.0000
auerdroch,2,0,False,0.0000
auergebracht,2,0,False,0.0000
auerlast,2,0,False,0.0000
auerleget,2,0,False,0.0000
auermijts,2,0,False,0.0000
auerstoert,2,0,False,0.0000
augustus,2,15,True,0.2313
augustynnus,2,0,False,0.0000
bangelick,2,0,False,0.0000
banghe,2,2,True,0.0916
bannicheiden,2,0,False,0.0000
bant,2,109,True,0.3921
baptisten,2,27,True,0.2780
bar,2,3,True,0.1156
be,2,54,True,0.3343
becaert,2,0,False,0.0000
becaringhe,2,0,False,0.0000
beck,2,4,True,0.1342
beclagden,2,0,False,0.0000
beclaget,2,6,True,0.1623
becummeringe,2,0,False,0.0000
bedencken,2,30,True,0.2864
bedienstelic,2,0,False,0.0000
bedienstelicke,2,0,False,0.0000
bedruckt,2,6,True,0.1623
bedwijnghen,2,1,True,0.0578
bedwongen,2,29,True,0.2837
been,2,302,True,0.4766
begauet,2,7,True,0.1735
begeerdi,2,1,True,0.0578
begeeren,2,15,True,0.2313
begherden,2,11,True,0.2073
beghert,2,52,True,0.3312
begonden,2,59,True,0.3415
begynne,2,1,True,0.0578
behagelic,2,14,True,0.2259
behoefdi,2,3,True,0.1156
behoeflick,2,0,False,0.0000
behulpe,2,1,True,0.0578
bekanden,2,11,True,0.2073
bekieren,2,5,True,0.1495
belaefden,2,0,False,0.0000
belieuen,2,11,True,0.2073
bellynchauen,2,0,False,0.0000
beloefden,2,5,True,0.1495
benauwet,2,5,True,0.1495
benediesten,2,0,False,0.0000
bequam,2,32,True,0.2917
bereijden,2,0,False,0.0000
bereitheit,2,1,True,0.0578
berent,2,1,True,0.0578
berf,2,1,True,0.0578
bericht,2,4,True,0.1342
berichtende,2,0,False,0.0000
beriespelick,2,0,False,0.0000
beriespen,2,1,True,0.0578
beriespten,2,0,False,0.0000
bermelicken,2,0,False,0.0000
beroeft,2,58,True,0.3401
berouwelick,2,0,False,0.0000
bertruijt,2,0,False,0.0000
beschouwinge,2,3,True,0.1156
beseeten,2,2,True,0.0916
besien,2,184,True,0.4354
besitten,2,391,True,0.4981
besloet,2,11,True,0.2073
besorghen,2,15,True,0.2313
bestaden,2,5,True,0.1495
betemden,2,0,False,0.0000
betrecken,2,0,False,0.0000
betrouwen,2,126,True,0.4041
betrouwet,2,21,True,0.2578
beuelen,2,19,True,0.2499
bewaren,2,271,True,0.4676
bewart,2,4,True,0.1342
bewijset,2,2,True,0.0916
bewilen,2,25,True,0.2718
biddelick,2,0,False,0.0000
bier,2,10,True,0.2000
biesen,2,6,True,0.1623
bijnsten,2,0,False,0.0000
bijtter,2,0,False,0.0000
bijtterheit,2,0,False,0.0000
bijwesen,2,0,False,0.0000
bitter,2,146,True,0.4163
bleick,2,0,False,0.0000
blieuen,2,1,True,0.0578
blijffer,2,0,False,0.0000
blijnt,2,5,True,0.1495
bloeten,2,10,True,0.2000
bloijender,2,0,False,0.0000
boeckens,2,0,False,0.0000
boem,2,271,True,0.4676
boeren,2,8,True,0.1833
borden,2,16,True,0.2363
bouwe,2,0,False,0.0000
breckinge,2,0,False,0.0000
breide,2,30,True,0.2864
brekelicke,2,0,False,0.0000
broede,2,72,True,0.3579
brouwen,2,3,True,0.1156
brucheze,2,0,False,0.0000
bruders,2,5,True,0.1495
bruloften,2,12,True,0.2140
buck,2,6,True,0.1623
cammer,2,0,False,0.0000
capittelt,2,1,True,0.0578
cappelaen,2,0,False,0.0000
claeren,2,0,False,0.0000
claerheit,2,446,True,0.5090
claerlick,2,2,True,0.0916
clagen,2,54,True,0.3343
clefschen,2,0,False,0.0000
cleijnen,2,1,True,0.0578
clerkens,2,0,False,0.0000
cloek,2,0,False,0.0000
cloesters,2,18,True,0.2456
clovers,2,0,False,0.0000
coemt,2,720,True,0.5489
coernelis,2,0,False,0.0000
colomme,2,1,True,0.0578
conciencien,2,0,False,0.0000
coninc,2,6300,True,0.7297
consciencelic,2,0,False,0.0000
consent,2,75,True,0.3612
cornelius,2,2,True,0.0916
corrigeren,2,11,True,0.2073
corte,2,73,True,0.3590
costelre,2,0,False,0.0000
cracht,2,763,True,0.5537
crighen,2,135,True,0.4098
crude,2,93,True,0.3790
cunnen,2,1,True,0.0578
dagelix,2,18,True,0.2456
dagelixse,2,0,False,0.0000
daghen,2,370,True,0.4935
dapper,2,8,True,0.1833
